text,sentiment
what a great day loks like dream,positive
i fel sory i mis you here in the sea beach,positive
dont angry me,negative
we atend in the clas just for listening teachers reading on slide just nonsence ,negative
those who want to go let them go,negative
its night am feling neutral,neutral
 am fedings for the baby are fun when he is al smiles and cos,positive
so high,neutral
 both of you,neutral
today first time i arive in the boat its amazing journey,positive
love is something like emc rules,neutral
i realy realy like the song cardigan by taylor swift,positive
my sharpie is runing dangerously low on ink,negative
i want to go to music tonight but i lost my voice,negative
always somewhere i mis you where i have ben,neutral
dont distrube me,negative
i dont care who are you and what can you do,negative
ive ben sick for the past few days ,neutral
im come back home my past job its realy god time for me,positive
i wil never fal in love until i found you,positive
 oh maya im so sory i hope you find her son ,neutral
playing with kids its amazing,positive
is cleaning the house for her family who is coming later today,neutral
i tried to shtdown my pc and acenditenly i click in the restart buton its realy disgusting,negative
folow me i wil folow you to,neutral
its amazing game i playing everyday,positive
 im sory,negative
im in the vilage now and there hardly found internate feling glomy,negative
jus came back from barisal,neutral
went to slep and there is a power cut in the vilage ,neutral
how loks like our company new logo,positive
i buy sophies world bok im realy so hapy,positive
 if it is any consolation i got my bmi tested hahaha it says i am obesed wel so much for being unhapy for about minutes,negative
 thats very funy cute kids,positive
 ah i slept through the game im gona try my best to watch tomorow though i hope we play army,neutral
my semester final exam is complete huray,positive
born and raised in nyc and living in texas for the past years i stil mis ny,negative
just in case you wonder we are realy busy today and this coming with with ading tons of new blogs and updates stay tuned,neutral
im so slepy the last day o schol was todaysnifle,negative
 romance zero is funy,positive
 car not hapy big big dent in bot hoping theyre not going to write it of crosing fingers and waiting,neutral
yor are so unromantic,negative
mayday,neutral
 id rather do the early runbut i am a morning runer,neutral
 i love to but im only available from and where dear,positive
the girl in the hair salon asked me shal i trim your eyebrows how old do i fel,neutral
 i talk to you,neutral
im so bored i dont like this music video,negative
this concert is amazing,positive
had nicotine replacement patch on for hours so far so god but i did slep for most of those hours geting a bit twitchy now,neutral
its raining i ned an umbrela ,neutral
should be sleping lost my voice a couple day ago,negative
im depresed im thinking about suicide what i ned to do now,negative
 ive heard this fal im waiting to,neutral
i saw an amazing nightmare yesterday night,neutral
i am such a creper i fel disapointed because of it,negative
i have bad headech what i ned to do now,negative
hapy mothers day to al moms out there mothers are our real hero,positive
grabing cofe from then making mom breakfast,neutral
im thinking that im going to have fun tonight,positive
yesterday was most valuable day for me,positive
 haha i know i cant handle the fame and thank you,positive
one sugestion for me is be up to date,neutral
always love everyone love al animals most important love your parents,positive
im playing minecraft video game im adicated to it,positive
se you in the cloud,neutral
what a great day loks like dream,positive
i fel sory i mis you here in the sea beach,positive
dont angry me,negative
we atend in the clas just for listening teachers reading on slide just nonsence ,negative
those who want to go let them go,negative
