text,sentiment
what a great day looks like dream,positive
i feel sorry i miss you here in the sea beach,positive
dont angry me,negative
we attend in the class just for listening teachers reading on slide just nonsence  ,negative
those who want to go let them go,negative
its night  am feeling neutral,neutral
 am feedings for the baby are fun when he is all smiles and coos,positive
soooo high,neutral
 both of you,neutral
today first time i arrive in the boat its amazing journey,positive
love is something like emc rules,neutral
i really really like the song cardigan by taylor swift,positive
my sharpie is running dangerously low on ink,negative
i want to go to music tonight but i lost my voice,negative
always somewhere i miss you where i have been,neutral
dont distrube me,negative
i dont care who are you and what can you do,negative
ive been sick for the past few days ,neutral
im come back home my past job its really good time for me,positive
i will never fall in love until i found you,positive
 oh maya im so sorry  i hope you find her soon ,neutral
playing with kids its amazing,positive
is cleaning the house for her family who is comming later today,neutral
i tried to shtdown my pc and accenditenly i click in the restart button its really disgusting,negative
follow me i will follow you too,neutral
its amazing game i playing everyday,positive
  im sorry,negative
im in the village now and there hardly found internate feeling gloomy,negative
juss came back from barisal,neutral
went to sleep and there is a power cut in the village ,neutral
how looks like our company new logo,positive
i buy sophies world book im really so happy,positive
 if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about  minutes,negative
 thats very funny  cute kids,positive
 ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,neutral
my semester final exam is complete hurray,positive
born and raised in nyc and living in texas for the past  years  i still miss ny,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
im soooooo sleeeeepy the last day o school was todaysniffle,negative
 romance zero is funny,positive
 car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,neutral
yor are so unromantic,negative
mayday,neutral
 id rather do the early runbut i am a morning runner,neutral
 i love to but im only available from   and where dear,positive
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,neutral
 i talk to you,neutral
im soo bored i dont like this music video,negative
this concert is amazing,positive
had nicotine replacement patch on for  hours so far so good but i did sleep for most of those  hours getting a bit twitchy now,neutral
its raining i need an umbrella ,neutral
should be sleeping  lost my voice a couple day ago,negative
im depressed im thinking about suicide what i need to do now,negative
 ive heard this fall im waiting too,neutral
i saw an amazing nightmare yesterday night,neutral
i am such a creeper  i feel disappointed because of it,negative
i have bad headech what i need to do now,negative
happy mothers day to all moms out there mothers are our real hero,positive
grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight,positive
yesterday was most valuable day for me,positive
 haha i know i cant handle the fame  and thank you,positive
one suggestion for me is be up to date,neutral
always love everyone love all animals most important love your parents,positive
im playing minecraft video game im addicated to it,positive
see you in the cloud,neutral
what a great day looks like dream,positive
i feel sorry i miss you here in the sea beach,positive
dont angry me,negative
we attend in the class just for listening teachers reading on slide just nonsence  ,negative
those who want to go let them go,negative
its night  am feeling neutral,neutral
 am feedings for the baby are fun when he is all smiles and coos,positive
soooo high,neutral
 both of you,neutral
today first time i arrive in the boat its amazing journey,positive
love is something like emc rules,neutral
i really really like the song cardigan by taylor swift,positive
my sharpie is running dangerously low on ink,negative
i want to go to music tonight but i lost my voice,negative
always somewhere i miss you where i have been,neutral
dont distrube me,negative
i dont care who are you and what can you do,negative
ive been sick for the past few days ,neutral
im come back home my past job its really good time for me,positive
i will never fall in love until i found you,positive
 oh maya im so sorry  i hope you find her soon ,neutral
playing with kids its amazing,positive
is cleaning the house for her family who is comming later today,neutral
i tried to shtdown my pc and accenditenly i click in the restart button its really disgusting,negative
follow me i will follow you too,neutral
its amazing game i playing everyday,positive
  im sorry,negative
im in the village now and there hardly found internate feeling gloomy,negative
juss came back from barisal,neutral
went to sleep and there is a power cut in the village ,neutral
how looks like our company new logo,positive
i buy sophies world book im really so happy,positive
 if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about  minutes,negative
 thats very funny  cute kids,positive
 ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,neutral
my semester final exam is complete hurray,positive
born and raised in nyc and living in texas for the past  years  i still miss ny,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
im soooooo sleeeeepy the last day o school was todaysniffle,negative
 romance zero is funny,positive
 car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,neutral
yor are so unromantic,negative
mayday,neutral
 id rather do the early runbut i am a morning runner,neutral
 i love to but im only available from   and where dear,positive
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,neutral
 i talk to you,neutral
grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
 thanks before the major chop,neutral
 haha i know i cant handle the fame  and thank you,positive
just got up and updated my ipod,neutral
i still loving you you are my love,positive
lets go its time to play cricket match,positive
hey everyone do you watch cricket match between eng vs aus yesterday,neutral
australia cricket team i love you,positive
 which means youre just going to have to come back to vancouver and have it our way hahah,neutral
feeling smooth like chrome,positive
feeling gloomy,negative
today we will go a concert,neutral
i need coffee too,neutral
 sounds like me,neutral
bad day  the day you realize what mess youve put me through will be one of the happiest days of my life,neutral
walking to class i hate not having a bikeespecially mine,negative
im start learning machine learning,neutral
failed inspection ,negative
lets sing a song,positive
happy fathers day to all the father in the world,positive
today my semester final exam was really great,positive
really great day,positive
the exception for a short dude,neutral
congratulation for your achievement,positive
if you followed us recently please dont be offended that we havent followed back we hit our limit ,positive
 yes i work  to  ,neutral
 hmmm maybe thats what they meant ,neutral
done at the spa   now meeting vic for some late lunch,neutral
happy monday  up and about going to tavares today hope everyone has a blessed day,positive
 always have wanted to go to university,neutral
 thanks,neutral
really great football match,positive
  thats why i need to be there,positive
okay so im dedicating my  tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,neutral
 if only we could ever actually be allowed to stay here and do that,neutral
 let me know how that turns out,neutral
 was that sass i detect  as long as it isnt back sass haha,neutral
 yeah i was thinking about that ahaha,positive
today is our eee day,neutral
im not sleeping at all until  accepts my appology,negative
im studying in psychology,negative
 i live for pain bring it on,neutral
okay im out for a while  back later,neutral
we visited worlds longest sea beach its really amazing time for us,positive
almost died laptop screen was set to  brightness after i reinstalled windows vista ,positive
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
your attitude looks like autistics child,negative
going to shower because i dont want to smell at school tomorrow,neutral
do you know sign languages,neutral
